tconst,title_type,primary_title,original_title,year,runtime_minutes,simple_title,average_rating,num_votes,timestamp,release_date
tt0105801,movie,Wet and Wild Summer!,Wet and Wild Summer!,1993,95,wet and wild summer,4.1,314,01/01/24 19:30,06/01/24
tt0105853,movie,Summer Lovers,Xia ri qing ren,1992,80,summer lovers,6,50,01/01/24 19:30,06/01/24
tt0106991,movie,Three Summers,Ge ge de qing ren,1992,90,three summers,6.4,72,01/01/24 19:30,06/01/24
tt0107212,movie,Indian Summer,Indian Summer,1993,97,indian summer,6.5,6083,01/01/24 19:30,06/01/24
tt0107496,movie,Malibu Summer,Malibu Summer,1993,NA,malibu summer,4.3,46,01/01/24 19:30,06/01/24
tt0107743,movie,The Olympic Summer,Der olympische Sommer,1993,85,the olympic summer,7.1,39,01/01/24 19:30,06/01/24
tt0108252,movie,Sune's Summer,Sunes sommar,1993,83,sunes summer,7,5126,01/01/24 19:30,06/01/24
tt0109549,movie,Dark Summer,Dark Summer,1994,90,dark summer,5.6,12,01/01/24 19:30,06/01/24
tt0109620,movie,In the Heat of Summer,Dim ji bing bing: Ching nin gon taam,1994,98,in the heat of summer,6.9,22,01/01/24 19:30,06/01/24
tt0109729,movie,The Endless Summer 2,The Endless Summer 2,1994,109,the endless summer 2,7.6,2239,01/01/24 19:30,06/01/24
tt0110168,movie,My Summer Story,It Runs in the Family,1994,85,my summer story,5.6,1840,01/01/24 19:30,06/01/24
tt0111312,tvMovie,Summertime Switch,Summertime Switch,1994,85,summertime switch,5.9,541,01/01/24 19:30,06/01/24
tt0111546,movie,An Unforgettable Summer,Un été inoubliable,1994,82,an unforgettable summer,7.3,1109,01/01/24 19:30,06/01/24
tt0111767,movie,Summer Snow,Nu ren si shi,1995,101,summer snow,7.8,841,01/01/24 19:30,06/01/24
tt0113612,movie,Last Summer in the Hamptons,Last Summer in the Hamptons,1995,108,last summer in the hamptons,5.7,443,01/01/24 19:30,06/01/24
tt0114775,movie,A Summer in La Goulette,Saeif Halq Al Wadi,1996,89,a summer in la goulette,6.3,876,01/01/24 19:30,06/01/24
tt0115940,movie,A Summer's Tale,Conte d'été,1996,113,a summers tale,7.6,10251,01/01/24 19:30,06/01/24
tt0115961,movie,Coyote Summer,Coyote Summer,1996,93,coyote summer,5.6,217,01/01/24 19:30,06/01/24
tt0116200,tvMovie,End of Summer,End of Summer,1997,95,end of summer,5.1,259,01/01/24 19:30,06/01/24
tt0116686,movie,Japanese Summers of a Filipino Fundoshi,Japanese Summers of a Filipino Fundoshi,1996,NA,japanese summers of a filipino fundoshi,6.2,11,01/01/24 19:30,06/01/24
tt0117043,movie,A Midsummer Night's Dream,A Midsummer Night's Dream,1996,105,a midsummer nights dream,6.2,394,01/01/24 19:30,06/01/24
tt0117085,movie,Moscow Summer,Moscow Summer,1996,80,moscow summer,8.3,10,01/01/24 19:30,06/01/24
tt0117310,movie,Paul Monette: The Brink of Summer's End,Paul Monette: The Brink of Summer's End,1996,90,paul monette the brink of summers end,8,95,01/01/24 19:30,06/01/24
tt0117779,tvMovie,The Summer of Ben Tyler,The Summer of Ben Tyler,1996,110,the summer of ben tyler,6.6,233,01/01/24 19:30,06/01/24
tt0117780,tvMovie,Summer of Fear,Summer of Fear,1996,100,summer of fear,5.3,305,01/01/24 19:30,06/01/24
tt0118720,movie,Bikini Summer III: South Beach Heat,Bikini Summer III: South Beach Heat,1997,87,bikini summer iii south beach heat,2.9,297,01/01/24 19:30,06/01/24
tt0119345,movie,I Know What You Did Last Summer,I Know What You Did Last Summer,1997,101,i know what you did last summer,5.8,159524,01/01/24 19:30,06/01/24
tt0122078,movie,Ardent Summer,Furia infernal,1973,90,ardent summer,5.7,74,01/01/24 19:30,06/01/24
tt0122181,movie,My Summer Vacation,My Summer Vacation,1996,95,my summer vacation,5,15,01/01/24 19:30,06/01/24
tt0123945,movie,That Brief Summer,Den korte sommer,1976,96,that brief summer,5.3,59,01/01/24 19:30,06/01/24
tt0125449,movie,Over the Summer,Over the Summer,1985,97,over the summer,5.1,45,01/01/24 19:30,06/01/24
tt0128648,movie,Summer of the Monkeys,Summer of the Monkeys,1998,101,summer of the monkeys,6.2,626,01/01/24 19:30,06/01/24
tt0130018,movie,I Still Know What You Did Last Summer,I Still Know What You Did Last Summer,1998,100,i still know what you did last summer,4.8,79290,01/01/24 19:30,07/01/24
tt0131432,movie,How I Spent My Summer Vacation,How I Spent My Summer Vacation,1997,73,how i spent my summer vacation,7.2,108,01/01/24 19:30,07/01/24
tt0133893,movie,Summer Rebellion,Kesäkapina,1970,81,summer rebellion,5.9,170,01/01/24 19:30,07/01/24
tt0134148,movie,Three Summer Days,Tri letnja dana,1997,90,three summer days,6.1,286,01/01/24 19:30,07/01/24
tt0134719,movie,Her Summer Hero,Her Summer Hero,1928,60,her summer hero,4.3,12,01/01/24 19:30,07/01/24
tt0137618,movie,Fruits of Summer,Les fruits de l'été,1955,105,fruits of summer,5.4,21,01/01/24 19:30,07/01/24
tt0137875,movie,This Summer at 5,Kesällä kello 5,1963,75,this summer at 5,5.6,126,01/01/24 19:30,07/01/24
tt0139684,movie,Stormy Summer,Un été d'orages,1989,95,stormy summer,5.7,52,01/01/24 19:30,07/01/24
tt0140379,movie,A Midsummer Night's Dream,A Midsummer Night's Dream,1999,116,a midsummer nights dream,6.4,27181,01/01/24 19:30,07/01/24
tt0140944,tvMovie,Deadly Summer,Deadly Summer,1997,50,deadly summer,7.4,105,01/01/24 19:30,07/01/24
tt0143350,movie,A Summer by the River,Kuningasjätkä,1998,85,a summer by the river,6.4,716,01/01/24 19:30,07/01/24
tt0144397,tvMovie,My Summer with Des,My Summer with Des,1998,82,my summer with des,6.9,416,01/01/24 19:30,07/01/24
